Name,ObsID,RA_deg,Dec_deg,z,Class,Flux_0p5_4p5,Log_Lx,SCID,Bmag,Rmag,BR_color
XWAS J001642.1-391820,X01602_084,4.175833333333333,-39.305861111111106,0.101,NELG,4.6,42.09,282737697273884,17.69,19.11,-1.4199999999999982
XWAS J001704.3-391046,X01602_193,4.2683333333333335,-39.17986111111111,1.545,BLAGN,4.0,44.79,282737697281015,20.48,20.84,-0.35999999999999943
XWAS J004240.5-202936,X03246_00094,10.668625,-20.493805555555557,1.144,BLAGN,1.7,44.1,565269235895161,21.28,,
XWAS J004244.8-204402,X03246_00014,10.68775,-20.734111111111112,1.605,BLAGN,1.3,44.33,283794259166772,22.86,,
XWAS J004245.5-204106,X03246_00023,10.689874999999999,-20.68513888888889,1.589,BLAGN,0.8,44.14,283794259169774,20.62,21.17,-0.5500000000000007
XWAS J004253.2-204219,X03246_00020,10.722041666666668,-20.705333333333332,0.729,BLAGN,1.9,43.64,283794259168470,21.92,,
XWAS J004254.3-204749,X03246_00005,10.727291666666666,-20.79752777777778,1.884,BLAGN,1.5,44.59,283794259162873,19.85,20.11,-0.259999999999998
XWAS J004255.3-203544,X03246_00066,10.730625,-20.59575,0.892,BLAGN,4.1,44.2,283794259175361,19.92,20.86,-0.9399999999999977
XWAS J004256.3-203242,X03246_00084,10.734833333333333,-20.54502777777778,0.719,BLAGN,3.5,43.9,283794259178476,20.57,21.63,-1.0599999999999987
XWAS J004258.3-203713,X03246_00051,10.743208333333332,-20.62038888888889,0.656,BLAGN,27.7,44.7,283794259173789,16.96,16.91,0.05000000000000071
XWAS J004300.7-204410,X03246_00013,10.752833333333333,-20.73638888888889,2.355,BLAGN,1.2,44.74,283794259166646,21.03,20.81,0.22000000000000242
XWAS J004308.0-203146,X03246_00087,10.783958333333333,-20.53088888888889,0.272,Gal,0.6,42.16,283794259179357,18.46,20.41,-1.9499999999999993
XWAS J004319.2-204106,X03246_00024,10.829916666666668,-20.685055555555557,0.915,BLAGN,2.1,43.93,283794259169780,20.34,21.82,-1.4800000000000004
XWAS J004322.6-203246,X03246_00083,10.843875,-20.546277777777778,2.651,BLAGN,0.7,44.66,283794259178417,21.95,,
XWAS J004326.4-202354,X03246_00104,10.860083333333334,-20.39836111111111,0.302,BLAGN,6.5,43.28,283794259186993,19.04,20.01,-0.9700000000000024
